Metric,Value
Number of CPU cores,10
Average CPU usage (%),31.0463
Peak CPU usage (%),1499.09
Estimated energy used (J),39555.1
Elapsed wall time (s),112.527
Elapsed CPU time (s),197.62
Total time taken (ms),103208
Total data sent (MiB),1033.52
Total time in Conv (s),37.431
Total time in MatMul (s),0
Total time in BatchNorm (s),11.898
Total time in Truncation (s),5.069
Total time in Relu (s),36.398
Total time in MaxPool (s),6.141
Total time in AvgPool (s),0.682
Total time in ArgMax (s),0.015
Conv data sent (MiB),259.62
MatMul data sent (MiB),0
BatchNorm data sent (MiB),469.171
Truncation data sent (MiB),21.7196
Relu data sent (MiB),226.93
Maxpool data sent (MiB),44.5175
Avgpool data sent (MiB),11.5254
ArgMax data sent (MiB),0.0393038
